Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2015_exists,2016_exists,2017_exists,2018_exists,2019_exists,2020_exists,2021_exists,2022_exists,2023_exists,2024_exists,2025_exists,Number of changes,Frequent changer
Solaris At Russell Community Association,,,,,,,,,,,touchstone community management,,,,,,,,,,1.0,1.0,1,False
Solaris Community Association,,,,,,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Solaro At Southern Highlands Owners Association,camco,camco,,camco,camco,camco,camco,camco,camco,camco,camco,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Solera At Anthem Community Association, Inc",firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Solera At Stallion Mountain Unit Owners' Association,hl realty management,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Solera Homeowners' Association,,,,associa,,,,,,,,,,,1.0,,,,,,,,2,True
Solitude At Skye Canyon Community Associaion,,,,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Solitude Estates Homeowners Association Inc,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Solitude Homeowners Association Inc,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Solstice Motorcoach Resort Community Association,corde,corde,corde,corde,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1,False
Somerset @ Summerlin West Community Association,howard hughe,howard hughe,,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Somerset At Providence Homeowners Association,ideal community management,epic association management,,epic association management,epic association management,epic association management,epic association management,epic association management,associa,associa,associa,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Somerset Community Homeowners Association,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Somerset Homeowners Association,mesa management,mesa management,mesa management,nevada community management,nevada community management,nevada community management,,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3,True
Somerset Landscape Maintenance Association,associated community management,path community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Somerset Park Homeowners Association,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,nevada community management,heritage management group,heritage management group,camco,camco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Somersett Owners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,taylor association management,taylor association management,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Somerston Ranch Homeowners Association,,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,,,,,,,,,1.0,1.0,1.0,,,2,True
Sommerset 1 Homeowners Association,first columbia community management,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,cornerstone community association management,cornerstone community association management,level property management,level property management,level property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Sommerset Homeowners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Sonata Falls Homeowners Association,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Sonata Homeowners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,epic association management,epic association management,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Sonesta @ Summerlin West Community Association,howard hughe,howard hughe,,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Sonoma Community Association Inc,terra west management service,terra west management service,,real property management group,real property management group,real property management group,real property management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Sonoma Hills @ Summerlin North,summerlin community management,summerlin community management,,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Sonoma Homeowners Association,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,desert living,westward360,ar community consulting,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Sonoma Summit @ Mountain'S Edge,,,,,,,capital consultant management,capital consultant management,capital consultant management,capital consultant management,capital consultant management,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
